Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,172716,Pacific Sanddab,Flatfish,Home,,5,1,1,Pacific Sanddab,Citharichthys sordidus,species,Flat Fish,fish,9,553,AK-Baja,Mud/Sand,Common,41,41,Pacific sand dab,Citharichthys sordidus
,172717,Speckled Sanddab,Flatfish,Home,,5,1,2,Speckled Sanddab,Citharichthys stigmaeus,species,Flat Fish,fish,0,250,AK-Baja,Hard/Soft Mixed,Common,17,17,Speckled sanddab,Citharichthys stigmaeus
,172715,UI sanddab,Flatfish,Home,,5,1,3,UI sanddab,Unidentified Citharichthys sp.,genus,Flat Fish,fish,3,553,AK-Baja,Mud/Sand,,41,,UI sanddab,Citharichthys sp.
,172887,Dover Sole,Flatfish,Home,,5,1,4,Dover Sole,Microstomus pacificus,species,Flat Fish,fish,10,1370,AK-Baja,Mud/Sand,Common,40,76,Dover sole,Microstomus pacificus
,172978,Rex Sole,Flatfish,Home,,5,1,5,Rex Sole,Glyptocephalus zachirus,species,Flat Fish,fish,18,640,AK-Baja,Mud/Sand,Common,36,60,Rex sole,Glyptocephalus zachirus
,172921,English Sole,Flatfish,Home,,5,1,6,English Sole,Parophrys vetulus,species,Flat Fish,fish,0,548,AK-SCA,Mud/Sand,Common,33,57,English sole,Parophrys vetulus
,172868,Petrale Sole,Flatfish,Home,,5,1,7,Petrale Sole,Eopsetta jordani,species,Flat Fish,fish,18,457,AK-Baja,Mud/Sand,Common,42,70,Petrale sole,Eopsetta jordani
,172871,Slender Sole,Flatfish,Home,,5,1,8,Slender Sole,Lyopsetta exilis,species,Flat Fish,fish,18,512,AK-Baja,Mud/Sand,Uncommon,34,35,Slender sole,Lyopsetta exilis
,172917,Rock Sole,Flatfish,Home,,5,1,9,Rock Sole,Lepidopsetta bilineata,species,Flat Fish,fish,0,575,AK-Baja,Mud/Sand,Common,57,60,Rock sole,Lepidopsetta bilineata
,172866,Deepsea Sole,Flatfish,Home,,5,1,10,Deepsea Sole,Embassichthys bathybius,species,Flat Fish,fish,41,1800,AK-SCA,Hard/Soft Mixed,Uncommon,46,47,Deep sea sole,Embassichthys bathybius
,172893,Starry Flounder,Flatfish,Home,,5,1,11,Starry Flounder,Platichthys stellatus,species,Flat Fish,fish,1,274,AK-SCA,Mud/Sand,Common,57,91,Starry flounder,Platichthys stellatus
